SR.NO,Country Code ,Latitude,Longitude,Country,City,Name of The Place,Type of the Place,Place Info,Suggested Duration,Adnission Tickests From,Place Image,Visit Website
1,44,51.509865,-0.118092,United Kingdom,London,Tower of London,Historic Sites ,"The Tower of London is one of the top sights to see in the city right in front of the majestic Tower Bridge. This historic castle with over 1,000 years of history is home to the Crown Jewels, the iconic 'Beefeater' Yeoman Warders, and the legendary ravens that have kept the kingdom from collapsing. Inside the White Tower, the oldest building of the castle, is an 11th-century chapel and historic Royal Armouries collections.",2-3 hours,https://www.hrp.org.uk/tower-of-london/visit/tickets-and-prices/#gs.4e72wb,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c0/dc/f8/tower-of-london-white.jpg?w=1400&h=-1&s=1&cx=2515&cy=1577&chk=v1_1e1764bee68456e4ca27,https://www.hrp.org.uk/tower-of-london/
2,44,51.509865,-0.118092,United Kingdom,London,The British Museum,History Museums,"A museum of the world, for the world. Discover over two million years of human history and culture. Some of the world-famous objects include the Rosetta Stone, the Parthenon sculptures and Egyptian mummies.",2-3 hours,https://www.britishmuseum.org/visit#ticket-information,,https://www.britishmuseum.org/
3,44,51.509865,-0.118092,United Kingdom,London,London Eye,Toutist Attraction,"Located along the Thames River, this iconic observation wheel offers unobstructed views from its glass pods. During the 30-minute ride, you'll be able to see London's well-known buildings like Buckingham Palace, Big Ben, and The Shard. On a clear day, you can see up to 25 miles from the top—where Windsor Castle is. Sunset views here are otherworldly, but nightfall views of the twinkling lights are great too. ",1-2 hours,https://www.londoneye.com/tickets-and-prices/,,https://www.londoneye.com/
4,44,51.509865,-0.118092,United Kingdom,London,National Gallery,Art Museums,"The National Gallery houses the national collection of paintings in the Western European tradition from the 13th to the 19th centuries. It is on show 361 days a year, free of charge.",2-3 hours,https://www.nationalgallery.org.uk/visiting/plan-your-visit,,https://www.nationalgallery.org.uk/
5,44,51.509865,-0.118092,United Kingdom,London,Tower Bridge,Toutist Attraction,"An iconic London landmark and one of Britain's best loved historic sites, Tower Bridge is open to the public 363 days a year. Within the Bridge's iconic structure and magnificent Victorian Engine rooms, the Tower Bridge Exhibition is the best way of exploring the most famous bridge in the world! ",1-2 hours,https://www.towerbridge.org.uk/your-visit/visitor-information,,https://www.towerbridge.org.uk/
6,44,51.509865,-0.118092,United Kingdom,London,Natural History Museum, History Museums,"A center of scientific excellence in the discovery of taxonomy and biodiversity, this world-famous museum promotes the discovery and enjoyment of the natural world through such exciting exhibits as the Life and Earth Galleries, wildlife garden and geological collections.",More than 3 hours,https://www.nhm.ac.uk/visit.html,,https://www.nhm.ac.uk/
7,44,51.509865,-0.118092,United Kingdom,London,V&A - Victoria and Albert Museum,Art Museums,"The world's greatest museum of art and design.The V&A's collections are unrivalled in their diversity. Explore historical and contemporary art and design, including works of art from many of the world's richest cultures. Admission free.",2-3 hours,https://www.vam.ac.uk/visit,,https://www.vam.ac.uk/
8,44,51.509865,-0.118092,United Kingdom,London,Houses of Parliament,Historic Sites ,"Most of this iconic building was built in the mid-19th century following a devastating fire in 1834. Westminster Hall survived the fire and dates from 1097. All visits are currently suspended. For the latest updates and online content, please go to the website and sign-up to the e-newsletter.",1-2 hours,,,https://www.parliament.uk/visit/
9,44,51.509865,-0.118092,United Kingdom,London,Stonehenge,Ancient Ruins ,"One of the most important survivals of prehistoric England, Stonehenge consists of a group of huge rough-cut stones, some more than 20 feet high, arranged in two concentric circles.",2-3 hours,https://www.english-heritage.org.uk/visit/places/stonehenge/plan-your-visit/,,https://www.english-heritage.org.uk/visit/places/stonehenge/?utm_source=Google%20Business&utm_campaign=Local%20Listings&utm_medium=Google%20Business%20Profiles&utm_content=stonehenge&utm_source=Google%20Business&utm_campaign=Local%20Listings&utm_medium=Google%20Business%20Profiles&utm_content=stonehenge
10,44,51.509865,-0.118092,United Kingdom,London,Big Ben,Landmarks,"Better known as Big Ben (it's actually the name of the Great Bell!), this iconic clock tower which stands at the Houses of Parliament is officially called the Elizabeth Tower, named in honor of Queen Elizabeth II's Diamond Jubilee. When the Elizabeth Tower is open for tours, you can climb up the tower and admire the clock and bell up close—though slots are limited to U.K. residents and require reservations in advance.",< 1 hour,,,https://www.parliament.uk/visiting/visiting-and-tours/tours-of-parliament/bigben/
